'Reference';'Value';'Datasheet';'Footprint';'Qty';'DNP'
'6_Pins_Button1,ESP32-DEVKIT1,H_Bridge1';'~';'';'-- valores mistos --';'3';''
'C1';'10 uF';'~';'Capacitor_THT:CP_Radial_D5.0mm_P2.50mm';'1';''
'C2';'100 uF';'~';'Capacitor_THT:CP_Radial_D6.3mm_P2.50mm';'1';''
'J1';'Bateria 2S';'~';'Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical';'1';''
'J4';'Motor B';'~';'Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical';'1';''
'J5';'Motor A';'~';'Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical';'1';''
'J6';'sensor IR';'~';'Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical';'1';''
'J7';'VL53L0X_ESQUERDO';'~';'Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical';'1';''
'J8';'SHARP_CENTRO_D';'~';'Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical';'1';''
'J9';'VL53L0X_DIREITO';'~';'Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical';'1';''
'J10';'SHARP_CENTRO_E';'~';'Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical';'1';''
'R1,R3,R8';'7k5';'~';'Resistor_SMD:R_0805_2012Metric';'3';''
'R2,R4,R7';'15k';'~';'Resistor_SMD:R_0805_2012Metric';'3';''
'R5,R6';'4k7';'~';'Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal';'2';''
'U1';'LM1117 5V';'http://www.ti.com/lit/ds/symlink/lm1117.pdf';'Package_TO_SOT_THT:TO-220-3_Vertical';'1';''
